Destination,City,Country,Continent,Category,Rating,Interests,Best_Visit_Season,Budget_Range,Family_Friendly,Features,Latitude,Longitude,semantic_description,semantic_description_ar
Masmak Fortress,Riyadh,Saudi Arabia,Asia,Historical,4.2,"History, Architecture, Museums",Oct-Mar,Mid,Yes,"fortress, museum, heritage",24.6333,46.7167,Masmak Fortress is a historic mud-brick fort in Riyadh representing the birthplace of modern Saudi Arabia and offering exhibits on local history and architecture.,قلعة المصمك حصن تاريخي من الطين في الرياض تمثل مهد السعودية الحديثة وتعرض معروضات عن التاريخ والعمارة المحلية.
National Museum,Jeddah,Saudi Arabia,Asia,Cultural,4.0,"Museums, Culture, Exhibitions",Oct-Mar,Mid,Yes,"museum, exhibitions",21.5433,39.1728,"Jeddah's national museum showcases Saudi cultural heritage, archaeological finds and rotating exhibitions highlighting regional arts.",المتحف الوطني في جدة يعرض التراث الثقافي السعودي واكتشافات أثرية ومعارض دورية تبرز الفنون الإقليمية.
AlUla Old Town,AlUla,Saudi Arabia,Asia,Historical,4.6,"Archaeology, History,Photography",Oct-Mar,Mid,Yes,"ancient town, architecture",26.6748,37.9531,AlUla Old Town features ancient mudbrick architecture and access to nearby rock-cut tombs and archaeological landscapes.,المدينة القديمة في العلا تتميز بهندسة طينية قديمة وتوفر وصولاً إلى المقابر المنحوتة وصورّ طبيعية أثرية.
Hegra (Madain Saleh),AlUla,Saudi Arabia,Asia,Archaeological,4.9,"Archaeology, History, Hiking",Oct-Mar,Mid,Yes,"nabatean tombs, unesco",26.797,37.9331,Hegra (Madain Saleh) is a UNESCO World Heritage site with well-preserved Nabatean tombs carved into sandstone cliffs and ancient inscriptions.,الحِجْر (مدائن صالح) موقع تراث عالمي لليونسكو به قبور الأنباط المنحوتة في منحدرات الحجر الرملي ونقوش أثرية محفوظة.
Corniche Beach,Jeddah,Saudi Arabia,Asia,Beach,4.1,"Beach, Swimming, Views",Oct-Apr,Mid,Yes,"beachfront, promenade",21.554,39.161,"Jeddah Corniche offers a scenic waterfront promenade, beaches and public art with views across the Red Sea.",كورنيش جدة يوفر ممشى ساحلي جميل وشواطئ وفن عام مع إطلالات على البحر الأحمر.
Floating Mosque,Jeddah,Saudi Arabia,Asia,Religious,4.0,"Architecture, Photography, Religious",Oct-Mar,Low,Yes,"mosque, sea-view",21.5089,39.2083,"The Floating Mosque in Jeddah sits near the shore with striking architecture and sea views, popular for photography and reflection.",المسجد العائم في جدة يقع بجانب الشاطئ بهندسة معمارية مميزة وإطلالات بحرية، ويشتهر كوجهة للتصوير والتأمل.
King Abdulaziz Center,Riyadh,Saudi Arabia,Asia,Cultural,4.3,"Art, Exhibitions, Learning",Oct-Mar,High,Yes,"culture center, exhibitions",24.7136,46.6753,"King Abdulaziz Center is a modern cultural hub in Riyadh hosting art exhibitions, events and educational programs.",مركز الملك عبدالعزيز هو محور ثقافي حديث في الرياض يحتضن معارض فنية وفعاليات وبرامج تعليمية.
Edge of the World,Riyadh,Saudi Arabia,Asia,Nature,4.7,"Hiking, Views, Adventure",Oct-Mar,Low,Yes,"cliffs, viewpoints",25.3222,46.1709,"Edge of the World is a dramatic escarpment near Riyadh offering panoramic desert views, hiking and impressive sunsets.",حافة العالم جرف صخري مذهل قرب الرياض يوفر إطلالات صحراوية بانورامية ومسارات مشي وغروب شمس رائع.
Al-Balad (Historic District),Jeddah,Saudi Arabia,Asia,Market,4.4,"Markets, Heritage, Shopping",Oct-Mar,Low,Yes,"old souq, coral houses",21.5535,39.1638,"Al-Balad is Jeddah's historic district with narrow streets, traditional coral-stone houses and vibrant souks selling crafts and spices.",البلد جدة حي تاريخي بأزقة ضيقة وبيوت مرجانية وأسواق نابضة تبيع الحرف والبهارات.
Pyramids of Giza,Giza,Egypt,Africa,Historical,4.9,"Archaeology, History, Photography",Oct-Apr,Mid,Yes,"ancient monuments, unesco",29.9792,31.1342,"The Pyramids of Giza are ancient monumental tombs near Cairo, remarkable for their scale, history and archaeological importance.",أهرامات الجيزة أضرحة أثرية قديمة قرب القاهرة مدهشة بحجمها وتاريخها وأهميتها الأثرية.
